"league = World: FIFA World Cup","league = Europe: Euro","league = South America: Copa America","team_1","team_2","avgRat_team1","avgRat_team2","avgAge_team1","avgAge_team2","team1_Population","team1_GDP","team1_avg_years_of_schooling","team2_Population","team2_GDP","team2_avg_years_of_schooling","result"
1.0,0.0,0.0,0.0,0.0,5.097443053543023,1.8596382673622354,-3.1909451992951667,0.7904664799876487,0.2919184543593441,0.7524248209880503,1.542242993226141,-0.30329376517987944,-0.6116434948705063,-0.40959771528028954,"Team1_Win"
1.0,0.0,0.0,1.0,1.0,1.9727544539421629,0.11184554617451162,-3.1909451992951667,-2.137491244898292,-0.051682083122600864,-0.4543367111235495,0.9712305811683842,-0.2260550333644647,-0.6935137876059352,-0.4696689218848015,"Team2_Win"
1.0,0.0,0.0,2.0,2.0,5.318315012812962,3.216747909566408,-6.245225371461307,0.7904664799876487,0.12468522247343303,1.113887786251726,1.0806461331794515,-0.29401873095814535,-0.7340351939106379,-0.6713853031533613,"Team1_Win"
1.0,0.0,0.0,4.0,4.0,4.935037201446271,3.7033882356600643,-1.9049324893874013,-6.692092204317124,-0.04130782130756498,-0.5932383464682222,0.37628351710820646,-2.80883403902457E-4,6.866812224166472E-4,0.0011162072773137025,"Team1_Win"
1.0,0.0,0.0,6.0,6.0,3.34345984731218,1.1673752675385483,2.435360355713649,-0.836176717132459,0.4823045880366603,-0.45036052911062097,-0.4162953877719612,0.23321795856962152,-0.675994988708385,0.2842929837366012,"Team1_Win"
1.0,0.0,0.0,7.0,7.0,3.3824372525923496,1.0577098424950624,2.2746087715967835,-0.9988410331031782,-0.18909299412542135,0.7620034767548564,0.8754919731587006,0.6869695806626777,0.7533563399391028,1.130750894981997,"Team1_Win"
1.0,0.0,0.0,8.0,8.0,5.636630483042127,3.9295731762901664,5.971895280230372,-5.390777639138494,0.14629030096873935,0.7575636738852298,0.4617644171168527,-0.27838587576276475,1.7734325438512106,0.9225495539095411,"Draw"
1.0,0.0,0.0,9.0,9.0,4.473804581013372,5.314099175937541,4.685882570322594,2.905102625019927,-0.2684160426832935,-0.1792933246618494,1.036196065174955,0.12790243568094958,0.6442642716762913,0.12012110659586121,"Team2_Win"
1.0,0.0,0.0,10.0,10.0,3.5513393386534413,3.586868721649888,2.113857187479918,2.2544453611370106,-0.31446031168998395,-0.3317701145690311,0.49595677712031105,-0.17439162278259843,0.7790216385016662,0.8918313232595066,"Draw"
1.0,0.0,0.0,11.0,11.0,0.985326871938838,5.930967195551193,-0.9404229846862088,3.5557599263156536,0.6451691671801948,0.736419124717351,1.1148384931829098,1.1759160528599661,-0.5816106456209627,-0.9273705585703157,"Team2_Win"
1.0,0.0,0.0,12.0,12.0,-0.27494254254327566,4.155758116920269,-1.4226777370368051,-2.7881485461940185,-0.15078401217997822,-0.1975457550997564,-0.37287109056756895,0.017655646926797268,0.41646367642835136,-0.0024105023303875994,"Team2_Win"
1.0,0.0,0.0,13.0,13.0,2.2845736902069884,2.1063854748924085,0.8278444775721527,-0.022855099866013508,0.015480485382773718,-0.7478314798560842,0.7763341291486707,-0.25432920210749976,-0.6962468947036673,-1.0440998350404471,"Team1_Win"
1.0,0.0,0.0,14.0,14.0,0.35519216395071473,5.965237640384645,-1.5834293211536705,5.9957247032893966,-0.3023189476633798,-0.8357816908631982,-1.7545843583073262,0.17188580903289108,0.7745677885061357,0.47884177785348664,"Team2_Win"
1.0,0.0,0.0,15.0,15.0,3.707248956785854,-0.27198344384234885,-5.280715829787259,-1.4868339810153754,-0.28981551321216414,1.7532780808814956,0.9062650971618132,0.05006383165619577,0.12197319832042153,0.7211744863148704,"Team1_Win"
1.0,0.0,0.0,0.0,3.0,5.097443053543023,3.497765563506473,-3.1909451992951667,0.9531307959583679,0.2919184543593441,0.7524248209880503,1.542242993226141,-0.2655815417814191,1.2231715645379828,1.1239246215042118,"Team1_Win"
1.0,0.0,0.0,4.0,16.0,4.935037201446271,3.5457441862733057,-1.9049324893874013,2.417109677107743,-0.04130782130756498,-0.5932383464682222,0.37628351710820646,0.5188147291108134,-0.43717817501829237,-0.3976517366941649,"Team1_Win"
1.0,0.0,0.0,2.0,1.0,5.318315012812962,0.11184554617451162,-6.245225371461307,-2.137491244898292,0.12468522247343303,1.113887786251726,1.0806461331794515,-0.2260550333644647,-0.6935137876059352,-0.4696689218848015,"Team1_Win"
1.0,0.0,0.0,16.0,5.0,4.123007939468376,4.073509047743544,2.435360355713649,-3.926798757989119,-0.2662148412343915,0.022919308434121672,-0.5034859057807802,-0.20731221473142916,1.1481635364040568,0.9737466049929321,"Team1_Win"
1.0,0.0,0.0,17.0,10.0,5.0194882444768165,3.586868721649888,2.917615108064232,2.2544453611370106,0.10369067613384421,0.6276711250737204,0.1024027134805039,-0.17439162278259843,0.7790216385016662,0.8918313232595066,"Team1_Win"
1.0,0.0,0.0,18.0,18.0,5.6041493132204305,2.065260941092266,3.560621481504562,-3.2761414941062026,1.1187330321726139,-0.5943374699803192,-0.9469608150256368,-0.1531579847322452,-0.8023435278182424,-0.6041465093971746,"Team1_Win"
1.0,0.0,0.0,19.0,14.0,3.921624682091455,5.965237640384645,-2.7086904469445834,5.9957247032893966,-0.0030876694605033567,0.40058899669054543,-0.020347858931912058,0.17188580903289108,0.7745677885061357,0.47884177785348664,"Team2_Win"
1.0,0.0,0.0,0.0,19.0,5.097443053543023,5.224996017794125,-3.1909451992951667,-1.9748269289275728,0.2919184543593441,0.7524248209880503,1.542242993226141,-0.021805996568245625,-0.5805080445836664,0.3935133593811685,"Draw"
